Actual,Predicted
1900,1570.61593678832
6521,5390.51922305086
450,371.9879850288126
1000,826.6399667306947
1600,1322.6239467691116
400,330.6559866922779
1291,1067.192197049327
600,495.98398003841686
2700,2231.9279101728757
310,256.2583896865154
450,371.9879850288126
1125,929.9699625720316
1100,909.3039634037642
2852,2357.5771851159416
5564,4599.424774889586
5211,4307.620866633651
1700,1405.2879434421811
1800,1487.9519401152504
2700,2231.9279101728757
555,458.78518153553557
5041,4167.0920722894325
2000,1653.2799334613894
700,578.6479767114863
1000,826.6399667306947
350,289.32398835574315
1100,909.3039634037642
680,562.1151773768725
5211,4307.620866633651
2250,1859.9399251440632
1200,991.9679600768337
900,743.9759700576252
900,743.9759700576252
5211,4307.620866633651
210,173.59439301344588
3200,2645.2478935382233
1700,1405.2879434421811
900,743.9759700576252
480,396.78718403073344
650,537.3159783749516
450,371.9879850288126
540,446.3855820345752
1350,1115.9639550864379
7412,6127.05543340791
1250,1033.2999584133684
450,371.9879850288126
900,743.9759700576252
630,520.7831790403377
500,413.31998336534735
1600,1322.6239467691116
2852,2357.5771851159416
1000,826.6399667306947
5562,4597.771494956124
600,495.98398003841686
2000,1653.2799334613894
150,123.99599500960421
1600,1322.6239467691116
600,495.98398003841686
600,495.98398003841686
1600,1322.6239467691116
1300,1074.631956749903
5000,4133.199833653473
2799,2313.765266879215
1500,1239.9599500960421
2852,2357.5771851159416
2000,1653.2799334613894
500,413.31998336534735
700,578.6479767114863
830,686.1111723864766
700,578.6479767114863
480,396.78718403073344
500,413.31998336534735
450,371.9879850288126
910,752.2423697249322
2000,1653.2799334613894
500,413.31998336534735
1000,826.6399667306947
2520,2083.132716161351
1350,1115.9639550864379
1800,1487.9519401152504
250,206.65999168267368
5211,4307.620866633651
5562,4597.771494956124
2351,1943.4305617838634
1800,1487.9519401152504
2500,2066.5999168267367
1900,1570.61593678832
700,578.6479767114863
700,578.6479767114863
750,619.9799750480211
850,702.6439717210906
2351,1943.4305617838634
650,537.3159783749516
650,537.3159783749516
400,330.6559866922779
1350,1115.9639550864379
6521,5390.51922305086
1800,1487.9519401152504
1200,991.9679600768337
4521,3737.239289589471
756,624.9398148484053
3000,2479.9199001920842
3150,2603.9158952016883
350,289.32398835574315
1150,950.635961740299
630,520.7831790403377
3011,2489.012939826122
1800,1487.9519401152504
450,371.9879850288126
1800,1487.9519401152504
810,669.5783730518627
2307,1907.0584032477127
450,371.9879850288126
1500,1239.9599500960421
1000,826.6399667306947
4000,3306.559866922779
1000,826.6399667306947
1000,826.6399667306947
300,247.99199001920843
1100,909.3039634037642
1200,991.9679600768337
5562,4597.771494956124
2700,2231.9279101728757
2741,2265.8201488088343
2500,2066.5999168267367
450,371.9879850288126
415,343.0555861932383
400,330.6559866922779
750,619.9799750480211
3011,2489.012939826122
1350,1115.9639550864379
6521,5390.51922305086
500,413.31998336534735
510,421.58638303265434
2200,1818.6079268075284
360,297.5903880230501
2700,2231.9279101728757
580,479.45118070380295
400,330.6559866922779
1800,1487.9519401152504
1300,1074.631956749903
2250,1859.9399251440632
1800,1487.9519401152504
950,785.30796839416
200,165.32799334613895
650,537.3159783749516
500,413.31998336534735
5621,4646.543252993235
5211,4307.620866633651
1300,1074.631956749903
650,537.3159783749516
510,421.58638303265434
1730,1430.0871424441018
960,793.5743680614669
2800,2314.5919068459452
6521,5390.51922305086
500,413.31998336534735
4500,3719.8798502881264
5211,4307.620866633651
225,185.9939925144063
6251,5167.326432033573
2852,2357.5771851159416
2200,1818.6079268075284
1590,1314.3575471018046
2500,2066.5999168267367
1500,1239.9599500960421
2950,2438.5879018555493
180,148.79519401152504
600,495.98398003841686
2200,1818.6079268075284
1550,1281.2919484325769
1125,929.9699625720316
5231,4324.153665968264
500,413.31998336534735
2852,2357.5771851159416
5400,4463.855820345751
6251,5167.326432033573
1500,1239.9599500960421
560,462.91838136918904
2200,1818.6079268075284
2852,2357.5771851159416
5562,4597.771494956124
1500,1239.9599500960421
5211,4307.620866633651
900,743.9759700576252
720,595.1807760461002
450,371.9879850288126
1900,1570.61593678832
5562,4597.771494956124
2200,1818.6079268075284
1500,1239.9599500960421
300,247.99199001920843
2856,2360.8837449828643
1000,826.6399667306947
1800,1487.9519401152504
3500,2893.2398835574318
1700,1405.2879434421811
2600,2149.263913499806
2700,2231.9279101728757
1050,867.9719650672295
500,413.31998336534735
1100,909.3039634037642
2500,2066.5999168267367
200,165.32799334613895
720,595.1807760461002
2200,1818.6079268075284
6251,5167.326432033573
4521,3737.239289589471
1800,1487.9519401152504
680,562.1151773768725
600,495.98398003841686
1395,1153.1627535893192
1100,909.3039634037642
1800,1487.9519401152504
900,743.9759700576252
650,537.3159783749516
610,504.2503797057238
516,426.5462228330385
1900,1570.61593678832
1100,909.3039634037642
5562,4597.771494956124
950,785.30796839416
900,743.9759700576252
650,537.3159783749516
350,289.32398835574315
1200,991.9679600768337
700,578.6479767114863
500,413.31998336534735
750,619.9799750480211
1800,1487.9519401152504
2852,2357.5771851159416
500,413.31998336534735
850,702.6439717210906
990,818.3735670633878
850,702.6439717210906
1600,1322.6239467691116
750,619.9799750480211
800,661.3119733845558
5216,4311.754066467303
2511,2075.6929564607744
1700,1405.2879434421811
1800,1487.9519401152504
1900,1570.61593678832
2312,1911.191603081366
651,538.1426183416822
450,371.9879850288126
1200,991.9679600768337
507,419.10646313246224
2852,2357.5771851159416
600,495.98398003841686
6251,5167.326432033573
6251,5167.326432033573
2500,2066.5999168267367
2200,1818.6079268075284
500,413.31998336534735
421,348.0154259936225
5521,4563.879256320166
1200,991.9679600768337
350,289.32398835574315
700,578.6479767114863
250,206.65999168267368
445,367.85478519515914
5211,4307.620866633651
2400,1983.9359201536674
900,743.9759700576252
1000,826.6399667306947
500,413.31998336534735
250,206.65999168267368
1100,909.3039634037642
1100,909.3039634037642
1800,1487.9519401152504
500,413.31998336534735
1800,1487.9519401152504
750,619.9799750480211
350,289.32398835574315
1230,1016.7671590787545
1900,1570.61593678832
1500,1239.9599500960421
900,743.9759700576252
565,467.0515812028425
2250,1859.9399251440632
1200,991.9679600768337
2300,1901.271923480598
1450,1198.6279517595074
900,743.9759700576252
1700,1405.2879434421811
2700,2231.9279101728757
1800,1487.9519401152504
1200,991.9679600768337
2000,1653.2799334613894
550,454.6519817018821
1450,1198.6279517595074
7044,5822.8519256510135
1050,867.9719650672295
250,206.65999168267368
500,413.31998336534735
6251,5167.326432033573
550,454.6519817018821
400,330.6559866922779
2352,1944.257201750594
1500,1239.9599500960421
2500,2066.5999168267367
1675,1384.6219442739136
1800,1487.9519401152504
5621,4646.543252993235
750,619.9799750480211
5211,4307.620866633651
150,123.99599500960421
5211,4307.620866633651
3200,2645.2478935382233
1800,1487.9519401152504
400,330.6559866922779
1500,1239.9599500960421
415,343.0555861932383
257,212.44647144978853
750,619.9799750480211
8521,7043.79915651225
5562,4597.771494956124
870,719.1767710557044
2250,1859.9399251440632
1850,1529.2839384517852
2600,2149.263913499806
345,285.1907885220897
